Nome,Punti,Scuderia,Punti,Vittorie,Podi
Hamilton,347,Mercedes,11,14
Bottas,223,Mercedes,2,11
Verstappen,214,Red Bull,2,11
Perez,125,Racing Point,1,2
Ricciardo,119,Racing Point,0,2
Sainz JR ,105,Mclaren,0,1
Albon,105,Red Bull,0,2
Leclerc,98,Ferrari,0,2
Norris,97,Mclaren,0,1
Gasly,75,Alpha Tauri,1,1
Stroll,75,Racing Point,0,2
Ocon,62,Renault,0,1
Vettel,33,Ferrari,0,1
Kvyat,32,Alpha Tauri,0,0
Hulkenberg,10,Racing Point,0,0
Raikkonen,4,Alfa Romeo Racing,0,0
Giovinazzi,4,Alfa Romeo Racing,0,0
Russell,3,Williams,0,0
Grosjean,2,Haas,0,0
Magnussen,1,Haas,0,0
