Nome,Reti
Immobile,36
Ronaldo,31
Lukaku,23
Caputo,21
Joao Pedro,18
Muriel,18
Zapata,18
Belotti,16
Dzeko,16
Ilicic,15
Lautaro Martinez,14
Berardi,14
Mancosu,14
Petagna,12
Simeone,12
Cornelius,12
Boga,11
Rebic,11
Quagliarella,11
Milik,11
Gabbiadini,11
Dybala,11
Lapadula,11
Kulusevski,10
Lasagna,10
Chiesa,10
Ibra,10
Gosens,9
Caicedo,9
Mertens,9
Pandev,9
Mkhitaryan,9
Musa Barrow,9
Correa,9
Calhanoglu,9
Pasalic,9
Di Carmine,8
Criscito,8
Orsolini,8
Insigne,8
Okaka,8
